"","Date","Year-to-date Burned Area (ha)"
"232","2017-07-14",673011
"233","2017-07-13",608738
"234","2017-07-12",568866
"235","2017-07-11",549805
"236","2017-07-10",486758
"237","2017-07-09",405471
"238","2017-07-08",334811
"239","2017-07-07",238991
"240","2017-07-06",192099
"241","2017-07-05",172655
"242","2017-07-04",164672
"243","2017-07-03",156234
"244","2017-07-02",149108
"245","2017-07-01",144743
"246","2017-06-30",140587
"247","2017-06-29",134336
"248","2017-06-28",131014
"249","2017-06-27",129675
"250","2017-06-26",127700
"251","2017-06-25",119355
"252","2017-06-24",114831
"253","2017-06-23",98936
"254","2017-06-22",80797
"255","2017-06-21",71309
"256","2017-06-20",64725
"257","2017-06-19",53077
"258","2017-06-18",49879
"259","2017-06-17",48937
"260","2017-06-16",47862
"261","2017-06-15",47751
"262","2017-06-14",46377
"263","2017-06-13",46062
"264","2017-06-12",45926
"265","2017-06-11",45762
"266","2017-06-10",45081
"267","2017-06-09",44399
"268","2017-06-08",43718
"269","2017-06-07",39911
"270","2017-06-06",25512
"271","2017-06-05",24540
"272","2017-06-04",24032
"273","2017-06-03",23904
"274","2017-06-02",23517
"275","2017-06-01",22578
"276","2017-05-31",17696
"277","2017-05-30",13696
"278","2017-05-29",6954
"279","2017-05-28",6377
"280","2017-05-27",6261
"281","2017-05-26",6187
"282","2017-05-25",5263
"283","2017-05-24",5144
"284","2017-05-23",5144
"285","2017-05-22",5144
"286","2017-05-21",4880
"287","2017-05-20",4115
"288","2017-05-19",4115
"289","2017-05-18",4115
"290","2017-05-17",2373
"291","2017-05-16",4115
"292","2017-05-15",4115
"293","2017-05-14",4115
"294","2017-05-13",21814
"295","2017-05-12",4115
"296","2017-05-11",3589
"297","2017-05-10",3002
"298","2017-05-09",3002
"299","2017-05-08",3002
"300","2017-05-07",3002
"301","2017-05-06",1326
"302","2017-05-05",1326
"303","2017-05-04",873
"304","2017-05-03",NA
"305","2017-05-01",NA
"306","2018-09-30",2355735
"307","2018-09-29",2355735
"308","2018-09-28",2355735
"309","2018-09-27",2355735
"310","2018-09-26",2355735
"311","2018-09-25",2355735
"312","2018-09-24",2355703
"313","2018-09-23",2359931
"314","2018-09-22",2359931
"315","2018-09-21",2359931
"316","2018-09-20",2359666
"317","2018-09-19",2359416
"318","2018-09-18",2359306
"319","2018-09-17",2359306
"320","2018-09-16",2359306
"321","2018-09-15",2359172
"322","2018-09-14",2366174
"323","2018-09-13",2366174
"324","2018-09-12",2366174
"325","2018-09-11",2366174
"326","2018-09-10",2366144
"327","2018-09-09",2366005
"328","2018-09-08",2364720
"329","2018-09-07",2363804
"330","2018-09-06",2358307
"331","2018-09-05",2355103
"332","2018-09-04",2353444
"333","2018-09-03",2350180
"334","2018-09-02",2346665
"335","2018-09-01",2343385
"336","2018-08-31",2328995
"337","2018-08-30",2321735
"338","2018-08-29",2315565
"339","2018-08-28",2310925
"340","2018-08-27",2306445
"341","2018-08-26",2298695
"342","2018-08-25",2293166
"343","2018-08-24",2290525
"344","2018-08-23",2256548
"345","2018-08-22",2127058
"346","2018-08-21",1945476
"347","2018-08-20",1857946
"348","2018-08-19",1809095
"349","2018-08-18",1754886
"350","2018-08-17",1671002
"351","2018-08-16",1565692
"352","2018-08-15",1509221
"353","2018-08-14",1427118
"354","2018-08-13",1306815
"355","2018-08-12",1265967
"356","2018-08-11",1215566
"357","2018-08-10",1108527
"358","2018-08-09",1004383
"359","2018-08-08",930494
"360","2018-08-07",879151
"361","2018-08-06",844543
"362","2018-08-05",826198
"363","2018-08-04",809790
"364","2018-08-03",799319
"365","2018-08-02",769496
"366","2018-08-01",738853
"367","2018-07-31",723595
"368","2018-07-30",702517
"369","2018-07-29",687640
"370","2018-07-28",678107
"371","2018-07-27",667176
"372","2018-07-26",656301
"373","2018-07-25",644434
"374","2018-07-24",638055
"375","2018-07-23",633185
"376","2018-07-22",623059
"377","2018-07-21",606779
"378","2018-07-20",593282
"379","2018-07-19",578164
"380","2018-07-18",552410
"381","2018-07-17",529770
"382","2018-07-16",523071
"383","2018-07-15",520606
"384","2018-07-14",496031
"385","2018-07-13",485313
"386","2018-07-12",468502
"387","2018-07-11",449432
"388","2018-07-10",399317
"389","2018-07-09",382841
"390","2018-07-08",366957
"391","2018-07-07",361886
"392","2018-07-06",361616
"393","2018-07-05",359439
"394","2018-07-04",357225
"395","2018-07-03",354284
"396","2018-07-02",353883
"397","2018-07-01",352879
"398","2018-06-30",337495
"399","2018-06-29",324934
"400","2018-06-28",312111
"401","2018-06-27",299141
"402","2018-06-26",295419
"403","2018-06-25",277157
"404","2018-06-24",245091
"405","2018-06-23",227081
"406","2018-06-22",216078
"407","2018-06-21",209340
"408","2018-06-20",196598
"409","2018-06-19",189543
"410","2018-06-18",184254
"411","2018-06-17",182176
"412","2018-06-16",179609
"413","2018-06-15",178508
"414","2018-06-14",178373
"415","2018-06-13",176324
"416","2018-06-12",176324
"417","2018-06-11",175799
"418","2018-06-10",174353
"419","2018-06-09",174326
"420","2018-06-08",174326
"421","2018-06-07",174326
"422","2018-06-06",173863
"423","2018-06-05",173494
"424","2018-06-04",173152
"425","2018-06-03",173152
"426","2018-06-02",173152
"427","2018-06-01",172052
"428","2018-05-31",171666
"429","2018-05-30",171314
"430","2018-05-29",171106
"431","2018-05-28",164472
"432","2018-05-27",158922
"433","2018-05-26",156725
"434","2018-05-25",151093
"435","2018-05-24",142527
"436","2018-05-23",106446
"437","2018-05-22",62883
"438","2018-05-21",47147
"439","2018-05-20",37165
"440","2018-05-19",30732
"441","2018-05-18",29516
"442","2018-05-17",29500
"443","2018-05-16",29484
"444","2018-05-15",27476
"445","2018-05-14",16397
"446","2018-05-13",11768
"447","2018-05-12",6862
"448","2018-05-11",5245
"449","2018-05-10",4616
"450","2018-05-09",4616
"451","2018-05-08",4616
"452","2018-05-07",4616
"453","2018-05-06",4428
"454","2018-05-05",4291
"455","2018-05-04",4291
"456","2018-05-03",4291
"457","2018-05-02",4291
"458","2018-05-01",4291
"459","2019-09-30",1892322
"460","2019-09-29",1892322
"461","2019-09-28",1891770
"462","2019-09-27",1891443
"463","2019-09-26",1891443
"464","2019-09-25",1891443
"465","2019-09-24",1891443
"466","2019-09-23",1891443
"467","2019-09-22",1891443
"468","2019-09-21",1891443
"469","2019-09-20",1891443
"470","2019-09-19",1891443
"471","2019-09-18",1891443
"472","2019-09-17",1891443
"473","2019-09-16",1891443
"474","2019-09-15",1891134
"475","2019-09-14",1890651
"476","2019-09-13",1890597
"477","2019-09-12",1884440
"478","2019-09-11",1879106
"479","2019-09-10",1868797
"480","2019-09-09",1852158
"481","2019-09-08",1846439
"482","2019-09-07",1845637
"483","2019-09-06",1849672
"484","2019-09-05",1845510
"485","2019-09-04",1845510
"486","2019-09-03",1845510
"487","2019-09-02",1845272
"488","2019-09-01",1845047
"489","2019-08-31",1848988
"490","2019-08-30",1848755
"491","2019-08-29",1848511
"492","2019-08-28",1848501
"493","2019-08-27",1848321
"494","2019-08-26",1848165
"495","2019-08-25",1848165
"496","2019-08-24",1847754
"497","2019-08-23",1845814
"498","2019-08-22",1844688
"499","2019-08-21",1844394
"500","2019-08-20",1844237
"501","2019-08-19",1844212
"502","2019-08-18",1844124
"503","2019-08-17",1844116
"504","2019-08-16",1844116
"505","2019-08-15",1844026
"506","2019-08-14",1843690
"507","2019-08-13",1842187
"508","2019-08-12",1841122
"509","2019-08-11",1841046
"510","2019-08-10",1841029
"511","2019-08-09",1840777
"512","2019-08-08",1839831
"513","2019-08-07",1838429
"514","2019-08-06",1837042
"515","2019-08-05",1836506
"516","2019-08-04",1831463
"517","2019-08-03",1829859
"518","2019-08-02",1828320
"519","2019-08-01",1824832
"520","2019-07-31",1795526
"521","2019-07-30",1788734
"522","2019-07-29",1779755
"523","2019-07-28",1764919
"524","2019-07-27",1753204
"525","2019-07-26",1738808
"526","2019-07-25",1730989
"527","2019-07-24",1698176
"528","2019-07-23",1659838
"529","2019-07-22",1622085
"530","2019-07-21",1575442
"531","2019-07-20",1538964
"532","2019-07-19",1520318
"533","2019-07-18",1502048
"534","2019-07-17",1488705
"535","2019-07-16",1478863
"536","2019-07-15",1475084
"537","2019-07-14",1474615
"538","2019-07-13",1472683
"539","2019-07-12",1469996
"540","2019-07-11",1468280
"541","2019-07-10",1447980
"542","2019-07-09",1410689
"543","2019-07-08",1388529
"544","2019-07-07",1340878
"545","2019-07-06",1283761
"546","2019-07-05",1205177
"547","2019-07-04",1107759
"548","2019-07-03",1078037
"549","2019-07-02",1067073
"550","2019-07-01",1023078
"551","2019-06-30",968740
"552","2019-06-29",919487
"553","2019-06-28",909647
"554","2019-06-27",905289
"555","2019-06-26",899656
"556","2019-06-25",896564
"557","2019-06-24",895028
"558","2019-06-23",890709
"559","2019-06-22",887269
"560","2019-06-21",887074
"561","2019-06-20",877584
"562","2019-06-19",871071
"563","2019-06-18",848007
"564","2019-06-17",827819
"565","2019-06-16",777298
"566","2019-06-15",767175
"567","2019-06-14",764772
"568","2019-06-13",763082
"569","2019-06-12",757473
"570","2019-06-11",741186
"571","2019-06-10",735238
"572","2019-06-09",731670
"573","2019-06-08",728422
"574","2019-06-07",724940
"575","2019-06-06",721808
"576","2019-06-05",721651
"577","2019-06-04",721045
"578","2019-06-03",720618
"579","2019-06-02",720542
"580","2019-06-01",708760
"581","2019-05-31",661946
"582","2019-05-30",628726
"583","2019-05-29",425655
"584","2019-05-28",294359
"585","2019-05-27",258978
"586","2019-05-26",223994
"587","2019-05-25",192117
"588","2019-05-24",178082
"589","2019-05-23",168651
"590","2019-05-22",154789
"591","2019-05-21",142611
"592","2019-05-20",112098
"593","2019-05-19",68502
"594","2019-05-18",21091
"595","2019-05-17",4768
"596","2019-05-16",4297
"597","2019-05-15",4064
"598","2019-05-14",4064
"599","2019-05-13",4064
"600","2019-05-12",3074
"601","2019-05-11",1557
"602","2019-05-10",1557
"603","2019-05-09",1557
"604","2019-05-08",1325
"605","2019-05-07",1325
"606","2019-05-06",1325
"607","2019-05-05",1003
"608","2019-05-04",1003
"609","2019-05-03",1003
"610","2019-05-02",1003
"611","2019-05-01",282
"612","2020-09-30",173274
"613","2020-09-29",173274
"614","2020-09-28",173055
"615","2020-09-27",173054
"616","2020-09-26",173054
"617","2020-09-25",173054
"618","2020-09-24",173054
"619","2020-09-23",173054
"620","2020-09-22",173054
"621","2020-09-21",173054
"622","2020-09-20",173054
"623","2020-09-19",172940
"624","2020-09-18",172705
"625","2020-09-17",172621
"626","2020-09-16",172554
"627","2020-09-15",172515
"628","2020-09-14",172502
"629","2020-09-13",172414
"630","2020-09-12",172208
"631","2020-09-11",171462
"632","2020-09-10",171144
"633","2020-09-09",170770
"634","2020-09-08",170748
"635","2020-09-07",170716
"636","2020-09-06",170489
"637","2020-09-05",169890
"638","2020-09-04",168038
"639","2020-09-03",166750
"640","2020-09-02",166683
"641","2020-09-01",166325
"642","2020-08-31",166311
"643","2020-08-30",166311
"644","2020-08-29",165464
"645","2020-08-28",165308
"646","2020-08-27",165144
"647","2020-08-26",163858
"648","2020-08-25",163086
"649","2020-08-24",162702
"650","2020-08-23",161414
"651","2020-08-22",161234
"652","2020-08-21",160804
"653","2020-08-20",160533
"654","2020-08-19",158190
"655","2020-08-18",154223
"656","2020-08-17",153354
"657","2020-08-16",152596
"658","2020-08-15",152321
"659","2020-08-14",160680
"660","2020-08-13",159059
"661","2020-08-12",151534
"662","2020-08-11",155813
"663","2020-08-10",150864
"664","2020-08-09",150282
"665","2020-08-08",149731
"666","2020-08-07",149578
"667","2020-08-06",149405
"668","2020-08-05",149109
"669","2020-08-04",149109
"670","2020-08-03",149109
"671","2020-08-02",148928
"672","2020-08-01",148770
"673","2020-07-31",148698
"674","2020-07-30",148168
"675","2020-07-29",148247
"676","2020-07-28",148247
"677","2020-07-27",148247
"678","2020-07-26",147838
"679","2020-07-25",147838
"680","2020-07-24",147838
"681","2020-07-23",147761
"682","2020-07-22",146468
"683","2020-07-21",144279
"684","2020-07-20",144166
"685","2020-07-19",144048
"686","2020-07-18",143896
"687","2020-07-17",143594
"688","2020-07-16",143272
"689","2020-07-15",142909
"690","2020-07-14",142798
"691","2020-07-13",142731
"692","2020-07-12",142731
"693","2020-07-11",142731
"694","2020-07-10",142676
"695","2020-07-09",141571
"696","2020-07-08",140704
"697","2020-07-07",139219
"698","2020-07-06",137150
"699","2020-07-05",137046
"700","2020-07-04",136434
"701","2020-07-03",135484
"702","2020-07-02",126964
"703","2020-07-01",126964
"704","2020-06-30",124110
"705","2020-06-29",121514
"706","2020-06-28",118637
"707","2020-06-27",118145
"708","2020-06-26",117973
"709","2020-06-25",117579
"710","2020-06-24",117579
"711","2020-06-23",117579
"712","2020-06-22",115084
"713","2020-06-21",113841
"714","2020-06-20",108791
"715","2020-06-19",68567
"716","2020-06-18",73976
"717","2020-06-17",69319
"718","2020-06-16",69102
"719","2020-06-15",67900
"720","2020-06-14",63956
"721","2020-06-13",58399
"722","2020-06-12",56535
"723","2020-06-11",56535
"724","2020-06-10",56535
"725","2020-06-09",56535
"726","2020-06-08",56535
"727","2020-06-07",56535
"728","2020-06-06",56535
"729","2020-06-05",52676
"730","2020-06-04",48619
"731","2020-06-03",50914
"732","2020-06-02",50469
"733","2020-06-01",47126
"734","2020-05-31",47112
"735","2020-05-30",47112
"736","2020-05-29",46966
"737","2020-05-28",47112
"738","2020-05-27",46966
"739","2020-05-26",46966
"740","2020-05-25",46966
"741","2020-05-24",46954
"742","2020-05-23",46954
"743","2020-05-22",46814
"744","2020-05-21",46173
"745","2020-05-20",46173
"746","2020-05-19",3055
"747","2020-05-18",27294
"748","2020-05-17",26047
"749","2020-05-16",1054
"750","2020-05-15",1054
"751","2020-05-14",5202
"752","2020-05-13",3176
"753","2020-05-12",3394
"754","2020-05-11",2611
"755","2020-05-10",2611
"756","2020-05-09",2608
"757","2020-05-08",2393
"758","2020-05-07",271
"759","2020-05-06",271
"760","2020-05-05",271
"761","2020-05-04",271
"762","2020-05-03",271
"763","2020-05-02",271
"764","2020-05-01",271
"765","2021-09-30",3956106
"766","2021-09-29",3953948
"767","2021-09-28",3949100
"768","2021-09-27",3946575
"769","2021-09-26",3946444
"770","2021-09-25",3946444
"771","2021-09-24",3946444
"772","2021-09-23",3946444
"773","2021-09-22",3946426
"774","2021-09-21",3945594
"775","2021-09-20",3945567
"776","2021-09-19",3945567
"777","2021-09-18",3945567
"778","2021-09-17",3945567
"779","2021-09-16",3945567
"780","2021-09-15",3945567
"781","2021-09-14",3945567
"782","2021-09-13",3945564
"783","2021-09-12",3945315
"784","2021-09-11",3945231
"785","2021-09-10",3944981
"786","2021-09-09",3944552
"787","2021-09-08",3944297
"788","2021-09-07",3943164
"789","2021-09-06",3942970
"790","2021-09-05",3942898
"791","2021-09-04",3945306
"792","2021-09-03",3943504
"793","2021-09-02",3942846
"794","2021-09-01",3946430
"795","2021-08-31",3940687
"796","2021-08-30",3936448
"797","2021-08-29",3925285
"798","2021-08-28",3923259
"799","2021-08-27",3926046
"800","2021-08-26",3913054
"801","2021-08-25",3897581
"802","2021-08-24",3888713
"803","2021-08-23",3886407
"804","2021-08-22",3882591
"805","2021-08-21",3870517
"806","2021-08-20",3862544
"807","2021-08-19",3854302
"808","2021-08-18",3854631
"809","2021-08-17",3834908
"810","2021-08-16",3814592
"811","2021-08-15",3777825
"812","2021-08-14",3715799
"813","2021-08-13",3672094
"814","2021-08-12",3643017
"815","2021-08-11",3632915
"816","2021-08-10",3593462
"817","2021-08-09",3579964
"818","2021-08-08",3584838
"819","2021-08-07",3550270
"820","2021-08-06",3510347
"821","2021-08-05",3365733
"822","2021-08-04",3321927
"823","2021-08-03",3259581
"824","2021-08-02",3249377
"825","2021-08-01",3247846
"826","2021-07-31",3246392
"827","2021-07-30",3238626
"828","2021-07-29",3026146
"829","2021-07-28",3020124
"830","2021-07-27",2831044
"831","2021-07-26",2832272
"832","2021-07-25",2791967
"833","2021-07-24",2729722
"834","2021-07-23",2506410
"835","2021-07-22",2511580
"836","2021-07-21",2407425
"837","2021-07-20",2388251
"838","2021-07-19",2274431
"839","2021-07-18",2193703
"840","2021-07-17",2052849
"841","2021-07-16",1968416
"842","2021-07-15",1626853
"843","2021-07-14",1554716
"844","2021-07-13",1375227
"845","2021-07-12",1286201
"846","2021-07-11",1119867
"847","2021-07-10",970360
"848","2021-07-09",807198
"849","2021-07-08",735076
"850","2021-07-07",665691
"851","2021-07-06",622578
"852","2021-07-05",589721
"853","2021-07-04",569541
"854","2021-07-03",505119
"855","2021-07-02",466713
"856","2021-07-01",404395
"857","2021-06-30",334466
"858","2021-06-29",294367
"859","2021-06-28",281686
"860","2021-06-27",269370
"861","2021-06-26",266008
"862","2021-06-25",263501
"863","2021-06-24",257173
"864","2021-06-23",254349
"865","2021-06-22",249267
"866","2021-06-21",247859
"867","2021-06-20",247726
"868","2021-06-19",246332
"869","2021-06-18",246064
"870","2021-06-17",242227
"871","2021-06-16",240289
"872","2021-06-15",239535
"873","2021-06-14",239467
"874","2021-06-13",239407
"875","2021-06-12",237779
"876","2021-06-11",236804
"877","2021-06-10",236765
"878","2021-06-09",233718
"879","2021-06-08",228458
"880","2021-06-07",226053
"881","2021-06-06",223440
"882","2021-06-05",222927
"883","2021-06-04",218872
"884","2021-06-03",215887
"885","2021-06-02",215253
"886","2021-06-01",214847
"887","2021-05-31",212847
"888","2021-05-30",212443
"889","2021-05-29",212010
"890","2021-05-28",209265
"891","2021-05-27",190266
"892","2021-05-26",195963
"893","2021-05-25",141904
"894","2021-05-24",141904
"895","2021-05-23",141904
"896","2021-05-22",141904
"897","2021-05-21",141904
"898","2021-05-20",141904
"899","2021-05-19",135112
"900","2021-05-18",107958
"901","2021-05-17",18333
"902","2021-05-16",17226
"903","2021-05-15",16024
"904","2021-05-14",15383
"905","2021-05-13",13185
"906","2021-05-12",9000
"907","2021-05-11",8321
"908","2021-05-10",7903
"909","2021-05-09",7509
"910","2021-05-08",6037
"911","2021-05-07",5696
"912","2021-05-06",5696
"913","2021-05-05",5696
"914","2021-05-04",5696
"915","2021-05-03",5696
"916","2021-05-02",5696
"917","2021-05-01",5696
"918","2022-09-30",1454626
"919","2022-09-29",1453075
"920","2022-09-28",1451918
"921","2022-09-27",1448914
"922","2022-09-26",1440952
"923","2022-09-25",1439926
"924","2022-09-24",1438605
"925","2022-09-23",1437006
"926","2022-09-22",1432024
"927","2022-09-21",1430592
"928","2022-09-20",1430171
"929","2022-09-19",1429900
"930","2022-09-18",1429867
"931","2022-09-17",1429853
"932","2022-09-16",1429457
"933","2022-09-15",1423461
"934","2022-09-14",1420050
"935","2022-09-13",1418871
"936","2022-09-12",1417418
"937","2022-09-11",1414122
"938","2022-09-10",1403607
"939","2022-09-09",1390202
"940","2022-09-08",1383659
"941","2022-09-07",1378484
"942","2022-09-06",1375306
"943","2022-09-05",1373366
"944","2022-09-04",1367141
"945","2022-09-03",1353360
"946","2022-09-02",1331266
"947","2022-09-01",1324791
"948","2022-08-31",1321456
"949","2022-08-30",1320379
"950","2022-08-29",1319249
"951","2022-08-28",1318540
"952","2022-08-27",1316672
"953","2022-08-26",1298533
"954","2022-08-25",1271912
"955","2022-08-24",1248824
"956","2022-08-23",1228563
"957","2022-08-22",1195901
"958","2022-08-21",1177945
"959","2022-08-20",1168457
"960","2022-08-19",1148249
"961","2022-08-18",1091025
"962","2022-08-17",1052498
"963","2022-08-16",1047272
"964","2022-08-15",1043580
"965","2022-08-14",1033722
"966","2022-08-13",1023128
"967","2022-08-12",1015780
"968","2022-08-11",1011819
"969","2022-08-10",1007284
"970","2022-08-09",1006185
"971","2022-08-08",1005477
"972","2022-08-07",997945
"973","2022-08-06",995118
"974","2022-08-05",985692
"975","2022-08-04",976273
"976","2022-08-03",967641
"977","2022-08-02",964612
"978","2022-08-01",958423
"979","2022-07-31",956612
"980","2022-07-30",954709
"981","2022-07-29",953410
"982","2022-07-28",953063
"983","2022-07-27",952060
"984","2022-07-26",940172
"985","2022-07-25",936607
"986","2022-07-24",932787
"987","2022-07-23",927546
"988","2022-07-22",920741
"989","2022-07-21",917677
"990","2022-07-20",912329
"991","2022-07-19",889098
"992","2022-07-18",814765
"993","2022-07-17",795383
"994","2022-07-16",789709
"995","2022-07-15",740002
"996","2022-07-14",703401
"997","2022-07-13",686590
"998","2022-07-12",648602
"999","2022-07-11",639203
"1000","2022-07-10",626996
"1001","2022-07-09",613915
"1002","2022-07-08",571586
"1003","2022-07-07",479430
"1004","2022-07-06",401648
"1005","2022-07-05",343034
"1006","2022-07-04",276678
"1007","2022-07-03",225069
