"","Date","Year-to-date Burned Area (ha)"
"1036","2022-06-04",15486
"1037","2022-06-03",7891
"1038","2022-06-02",6757
"1039","2022-06-01",6607
"1040","2022-05-31",6495
"1041","2022-05-30",6495
"1042","2022-05-29",6495
"1043","2022-05-28",6495
"1044","2022-05-27",6495
"1045","2022-05-26",6495
"1046","2022-05-25",6360
"1047","2022-05-24",6360
"1048","2022-05-23",6360
"1049","2022-05-22",6226
"1050","2022-05-21",6226
"1051","2022-05-20",6226
"1052","2022-05-19",6226
"1053","2022-05-18",6226
"1054","2022-05-17",5968
"1055","2022-05-16",5968
"1056","2022-05-15",5968
"1057","2022-05-14",5968
"1058","2022-05-13",5897
"1059","2022-05-12",5594
"1060","2022-05-11",5516
"1061","2022-05-10",5388
"1062","2022-05-09",2791
"1063","2022-05-08",2791
"1064","2022-05-07",2791
"1065","2022-05-06",2530
"1066","2022-05-05",2365
"1067","2022-05-04",2365
"1068","2022-05-03",2365
"1069","2022-05-02",2251
"1070","2022-05-01",2251
